央视,#genre#
新疆新闻广播,
新疆交通广播,
新疆私家车广播,https://satellitepull.cnr.cn/live/wxxjsjcgb/playlist.m3u8
新疆绿色广播,
西藏都市生活广播,
西藏对外交通广播,
西藏汉语广播,
西藏藏语广播,
甘肃交通广播,
甘肃农村广播,
甘肃经济广播,https://satellitepull.cnr.cn/live/wxgshhzs/playlist.m3u8
甘肃新闻综合广播,
广西教育广播,https://satellitepull.cnr.cn/live/wx32gbjyshgb/playlist.m3u8
广西综合广播,https://satellitepull.cnr.cn/live/wx32gxrmgb/playlist.m3u8
广西北部湾之声,https://satellitepull.cnr.cn/live/wx32gxdwgb/playlist.m3u8
广西交通广播,https://satellitepull.cnr.cn/live/wx32gxjtgb/playlist.m3u8
云南新闻广播,https://satellitepull.cnr.cn/live/wxynxwgb/playlist.m3u8
云南经济广播·私家车电台,https://satellitepull.cnr.cn/live/wxynjjgb/playlist.m3u8
云南交通之声,https://satellitepull.cnr.cn/live/wxynjtgb/playlist.m3u8
云南旅游广播·香格里拉之声,https://satellitepull.cnr.cn/live/wxxgllzs/playlist.m3u8
云南民族广播,https://satellitepull.cnr.cn/live/wxynmzgb/playlist.m3u8
云南国际广播,https://satellitepull.cnr.cn/live/wxynsegb/playlist.m3u8
云南教育广播·知道分子频道,https://satellitepull.cnr.cn/live/wxynjygb/playlist.m3u8
宁夏经济广播,https://satellitepull.cnr.cn/live/wxnxjjgb/playlist.m3u8
宁夏新闻广播,https://satellitepull.cnr.cn/live/wxnxxwgb/playlist.m3u8
